Subject,Catalog Number,Title,Professors
EPY,303,Educ Psychology,"Ebenezer Belete, , Megan Cogliano, Edward Nussbaum, Monica Johnson, Michael Van Winkle"
EPY,451,Educational Assessment,", Michael Van Winkle"
EPY,702,Research Methods,", Megan Cogliano, Chelsie Hawkinson, Rebecca Nathanson, Amanda Hoffman, Nathan Slife, Hanem Shehab"
EPY,707,Adolescent Development,Lori Olafson
EPY,709,Classroom Assessment,", Megan Cogliano"
EPY,711,Human Growth & Developmnt,"Lisa Bendixen, Megan Cogliano"
EPY,718,Qual Research Methodolog,"Stefani Relles, Ung-Sang Lee, Lori Olafson"
EPY,721,Intro Desc Infr Sta,"Alice Corkill, Sean Mulvenon, Amanda Hoffman"
EPY,726,Adv Eval Rsh Method,Kristine Bragg Zizza
ESP,701,Intro to Sp Ed & Leg Iss,"Karen Berrios Benavides, , Nicole Rickert, Heather Van Ness"
ESP,706,Adv Ed Strat Em D,Heather Van Ness
ESP,708,Adv Ed Strat Students Dis,Jessica Alley
ESP,710,Data Ind MTSS,", Kendra Antill, Robert Smith"
ESP,719A,Adv Oral & Writ Stud Dis,Marley Collins
ESP,724,Math Meth in Spec Educ,"Monica Brown, Robby Robinson"
ESP,727,Tech in Special Education,Travis Hammond
ESP,730,Parent Involv Sp & Gen Ed,", Christine Baxter, Robby Robinson, Alex Faucheux"
ESP,733,Mgt/Mod of Students,Scotia Hammond
ESP,763,Sem Sel Sp Ed Topic,Heather Van Ness
FAB,200,Sustainable Food Tourism,Christine Bergman
FILM,100,Intro to Film,"Dale Melgaard, Jason Edmiston, Rodabeh Boroumand"
FILM,410,Maj Fig in Cinema,"Dale Melgaard, Francisco Menendez, Rodabeh Boroumand"
FILM,450,Adv Directed Studies in Film,Charles Burmeister
FILM,497,Genre Stds in Film,"Heather Addison, Yvonne Houy-Kilker, Dale Melgaard, Kynan Dias, Jason Edmiston, Rodabeh Boroumand, Charles Burmeister"
FIN,301,Prin of Managrl Fin,"Yousif Muradian, Jianzhong Zhang"
FIN,303,Inter Managral Fin,"Susan Gould, Ming Shou"
FIN,435,Financial Modeling,Steven Ho
FIN,709,Applied Topics in Finance,Ming Shou
GAM,225,Intro to Gaming Mgt,Laurence Morrow
GEOG,103,Phy Geog of Earth's Env,", Rachel Rahib, Racheal Johnsen, Kelsy Konkright"
GEOG,104,Physical Geog Lab,", Racheal Johnsen, Kelsy Konkright"
GEOL,100,Natural Disasters,"Dawn Reynoso, , Gabriel Judkins"
GEOL,101,Exploring Planet Earth,"Dawn Reynoso, , Rachel Rahib, Michael Nicholl"
GRC,210,Typography I,Amanda Gates
GRC,250,Design & Media Studio I,Jungyun Son
GRC,270X,History of Graphic Design,Roxanne Farrar
GRC,320,Design Methods and Research,"Ashley Doughty, Charles Schlink"
GSC,100,First Year Seminar,", Kirsten Dinicola"
GSC,300,GCUA SYS: Civic Engagement,", Kaylee Faria, Natalie Wallenfang, Tanya Dudinskaya, Megan Giovannini, Cassandra Boyer, Mari Sakiyama, Ivet Aldaba, Cassidy Bowman, Jordan Donohue, Celestina Tarin, Darwin Morgan"
HCA,175,U.S. Healthcare System,"Betty Burston, Erin Rosenberg, Zahra Mojtahedi, Jay Shen, Anita Tanner"
HCA,201,Healthcare Law,Sheila Evans
HCA,202,Epidemiology for HCA,"Timothy Bungum, Ann Vuong, Karen Callahan"
HCA,203,Diversity and US Hlthcare,", Pearl Kim, Betty Burston"
HCA,205,Intro to Health Econ,", Yonsu Kim, Yeunkyung Kim"
HCA,216,Fundamental of Accounting,Yonsu Kim
HCA,299,Leading in Hlthcare Envir,", Anita Tanner"
HCA,300,Mgmt Hlth Serv Orgs,"Soumya Upadhyay, Maire Simington"
HCA,302,Healthcare Finance,"Chris Papesh, Yonsu Kim"
HCA,308,Health IS Management,Chris Papesh
HCA,330,Strategic Planning,Maire Simington
HCA,401,Pre-Practicum in HCA,Bobbie Trude
HCA,403,Managed Care,Chris Papesh
HCA,404,H.R.Mgmt: HC Orgs,Kendrick Russell
HCA,701,US Healthcare System,", Neeraj Bhandari"
HCA,702,Epi Hlth Srvs Mgt,Ann Vuong
HCA,717,HR Mgt of Healthcare Orgs.,", Kurt Houser"
HED,607,Stress Management,Charles Regin
HED,629,Education for Sexuality,"Amanda Morgan, Raymond Rodriguez"
HED,635,Hlth Studies Drugs,"YING GUO, Sheila Janofsky, Timothy Grigsby, Raymond Rodriguez"
HED,761,Health Disparities,Christopher Johansen
HIST,100,Hist Issu Contem Society,"Deborah Rayner, Colin Loader"
HIST,101,US Colonial Times to 1877,", Liberty Peterson, Cian Mcmahon, Elizabeth Nelson, Michelle Turk, Aaron Wilkinson, Maria Casas, Michael Alarid, Kristen Phipps"
HIST,102,U.S. Since 1877,"Liberty Peterson, Neil Dodge, Deirdre Clemente, Paige Figanbaum, Christina Lamoureux, Todd Robinson"
HIST,103,Global Prblms in History,"Teddy Uldricks, Jeffrey Schauer, Carlos Dimas, Marie Winkelmann, Austin Dean"
HIST,110,Hist of Multi in America,"Neil Dodge, Norma Flores, Michael Alarid, Todd Robinson"
HIST,209,World History II,John Curry
HIST,217,Nevada History,Michelle Turk
HIST,228,Latin Amer Hist & Cult II,Carlos Dimas
HIST,367,The Holocaust Euro Set,Norma Flores
HIST,388,Great Personalities Hist,Teddy Uldricks
HIST,410B,Am Cultrl Intell Hist II,Deborah Rayner
HIST,444,Latinos in the Amer West,Maria Casas
HIST,449B,Hist of Japan Since 1800,Edgar Weir
HIST,644,Latinos in the Amer West,Maria Casas
HIST,649B,Hist of Japan Since 1800,Edgar Weir
HMD,101,Foundatns of Hospitality,"Laurence Morrow, Gail Sammons, Barbara Richards"
HMD,120,Intro Hosp Customer Exper,"Gail Sammons, Barbara Richards, Sherrie Tennessee, Finley Cotrone, Joseph Mckay"
HMD,130,Fundamentals F&B Oper,"Mohsen Azizsoltani, George Alonzo, Audrey Alonzo, Jai Choung"
HMD,200,Hospitality Milestone,Roberta Barnes Webb
HMD,204X,Hotel Operations,Whitney Mulaj
HMD,205,Hospitality HR Management,"Laura Book, Michael Gebhart, Gail Sammons"
HMD,220,Facilitating Customer Exp,"Patricia Coaley, James Busser, Barbara Richards"
HMD,221,Hospitality Financial Acc,Zihui Ma
HMD,225,Hospitality Leadership,"Todd Uglow, Kweisi Ausar"
HMD,226,Hospitality IT,Mehmet Erdem
HMD,256,Employee Compensation,Dana Cotham
HMD,305,Hospitality Org Behaviors,"Joseph Mckay, Kweisi Ausar, Patricia Coaley, Gail Sammons"
HMD,310,Hospitality Ops & Emp Law,Michael Gebhart
HMD,330,Hosp Purch/Cost Control,"Gina Marano, Mohsen Azizsoltani, Carola Raab"
HMD,340,Hosp Financial Analysis,"Saeed Hasanzadeh Vayghan, Jungsun Kim, Ozgur Ozdemir"
HMD,350,Hospitality Marketing,"Seyhmus Baloglu, Xiucheng Bai, Barbara Richards, Babu George"
HMD,395,Facilities Management,James Lessnick
HMD,400,Immersive Culminate Exp,Roberta Barnes Webb
HMD,405,Hospitality Strategic Mgt,"Laura Book, Dana Cotham"
HMD,410,Integrated Resorts CE,"Mark Grzankowski, Jeffrey Yedlin"
HMD,440,Rev Mgmt & Profit Optmize,"Soyeon Jung, Barbara Richards, Amanda Belarmino"
HMD,480,Hosp Industry Projects,"Samuel Lee, Cameron Scharchburg Beyer, Barbara Richards"
HOA,717,Princ & Pract Conv/Meet,Inna Soifer
HOA,730,Stats Analysis for Hospitality,Ashok Singh
HOA,751,Hosp Service Mgmt,Samuel Lee
HOA,752,Adv Hosp Mgt I,Laura Book
HOA,753,Adv Hosp Mgt II,Zihui Ma
HOA,768,Hosp Leadership I,Patricia Coaley
HON,100,Honors Rhetoric,"Heather Lusty, Michael Chin, William Doyle, Jaclyn Costello"
HON,110,World Thought,Heather Lusty
HON,115,Global Issues,"Michelle Turk, Joanna Kepka"
